nodeid,name
930030,Pandas
100376,Pega
100377,Perforce
930107,Perl
9300462,Photoshop
930404,PHP
100381,PHPStorm
100382,PlayFab
100383,PostGIS
930311,PostgreSQL
930311,Postgres
930441,Power BI
930441,PowerBI
93102,PowerPoint
930561,PowerShell
100390,Pre Commit
930330,Presto
930740,Prometheus
100393,ProtoBuf
930727,Protractor
100395,Pulumi
930753,Puppet
100397,PureCloud
100398,PureConnect
100399,Pure Data
100400,PyCharm
100401,PyQt
930013,PySpark
930725,Pytest
930120,Python
930001,PyTorch
100406,QGIS
100407,Qlik
100408,QML
100409,Qt
100410,Quarkus
930114,R
93083,RabbitMQ
100413,Radium
100414,RAML
100415,Rasa
930410,React
930410,ReactJS
930410,React.js
930458,React Native
100420,Reaktor
930324,Redis
930203,Redshift
930412,Redux
93080,RESTful
100425,Restlet
100426,Rider
100427,Rook
93058,ROS
100429,R Shiny
100430,RSpec
100431,RStudio
930108,Ruby
100433,RubyMine
930456,Ruby on Rails
930110,Rust
100436,RxSwift
930210,S3
100438,SABA cloud
100439,Sabre
930207,SageMaker
93025,Salesforce
93025,Saleforce
93025,Salesforce.com
100444,SaltStack
930354,SAP
930011,SAS
930106,Scala
100448,Scala.js
100448,ScalaJS
930020,Scikit Learn
930020,SKlearn
930032,SciPy
100453,Seaborn
930724,Selenium
100455,Sentry
100456,ServiceNow
930712,SharePoint
100458,Sheet(s)
930562,Shell
100460,SignalFx
93067,Singularity
100462,Sisense
930460,Sketch
100464,Slack
100465,Slide(s)
100466,Slim
100467,Sling
930723,Slurm
930355,Snowflake
100470,Solaris
100471,SolidWorks
100472,Solr
930010,Spark
100474,Spinnaker
93026,Splunk
93092,Spring
100477,Spring Boot
930300,SQL
100479,SQLite
100480,Statsmodel(s)
100481,Streamlit
100482,STRING
100483,Sublime Text
930704,Subversion
930704,SVN
100487,SumoLogic
100487,Sumo Logic
100488,Svelte
100489,Swagger
93066,Swarm
930111,Swift
100492,Symfony
100493,SysDig
930440,Tableau
100495,Talend
100496,TBB
100497,Tealium
930000,TensorFlow
930000,Tensor Flow
93024,Teradata
930750,Terraform
100502,TestRail
100502,Test Rail
100504,TextMate
930005,Theano
100506,Three.js
100507,TM1Py
100508,Tomcat
100509,Torch
100510,Travelport
100511,TVM
930401,TypeScript
930501,Ubuntu
930714,UiPath
100515,UML
100516,Uniprot
93095,Unity
93052,Unix
93093,Unreal
100520,UrbanCode
100521,Vagrant
100522,Valgrind
100523,VBA
100524,VCS
100525,Verilog
100526,VHDL
100527,Vim
100528,Virtual Agent Designer
93104,Visio
93097,Visual Studio
100531,Visual Studio Code
100531,VSCode
93064,VMWare
100534,VoiceXML
100535,VPC(s)
100536,vSphere
930450,Vue
930450,Vue.js
100539,Vuforia
100540,Vulkan
100541,Vyond
100542,WebdriverIO
100543,WebGL
100544,WebRTC
100545,Webstorm
100546,Whois
100547,WinDbg
93051,Windows
93103,Word
100550,Wordpress
100551,Workfusion
100552,WSDL
100553,WSL
100554,Xamarin
100555,Xcode
100556,XLA
93081,XML
100558,xSQL
100559,YAML
100560,Yarn
100561,Yocto
100562,Zendesk
100563,Ziva
100564,ZMQ
100565,Zoho
100566,Zookeeper
100567,Zoom
100568,Zsh
